날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 07월 28일,83.68,84.19,85.48,83.48,1.51M,-0.88%
2020년 07월 27일,84.42,83.04,84.76,80.82,2.42M,0.84%
2020년 07월 24일,83.72,84.86,85.60,83.29,2.50M,-1.70%
2020년 07월 23일,85.17,86.87,86.95,83.77,2.87M,-2.86%
2020년 07월 22일,87.68,86.88,87.78,86.02,2.08M,0.17%
2020년 07월 21일,87.53,87.72,89.11,86.70,1.88M,0.74%
2020년 07월 20일,86.89,86.09,87.55,84.53,1.92M,0.02%
2020년 07월 17일,86.87,87.21,87.25,85.57,1.63M,-0.34%
2020년 07월 16일,87.17,88.45,89.07,86.45,2.45M,-3.39%
2020년 07월 15일,90.23,86.49,91.25,86.49,5.60M,9.41%
2020년 07월 14일,82.47,81.26,82.64,80.39,2.34M,1.09%
2020년 07월 13일,81.58,84.29,86.05,81.49,3.71M,-2.35%
2020년 07월 10일,83.54,81.04,84.09,80.05,4.01M,2.43%
2020년 07월 09일,81.56,83.62,83.62,79.18,5.71M,-3.14%
2020년 07월 08일,84.20,84.87,84.98,81.98,4.20M,-1.00%
2020년 07월 07일,85.05,85.87,86.22,83.67,2.83M,-2.62%
2020년 07월 06일,87.34,88.59,89.80,84.10,4.34M,2.89%
2020년 07월 02일,84.89,86.48,88.08,83.47,2.92M,0.53%
2020년 07월 01일,84.44,83.21,86.11,82.39,3.16M,2.73%
2020년 06월 30일,82.20,82.65,83.06,80.98,3.12M,-0.57%
2020년 06월 29일,82.67,78.29,82.82,75.76,4.75M,6.55%
