,hotel,star,review,date,date
120,라까사 호텔 서울,4,남친 생일기념으로 갔었는데 여기 조식 너무 훌륭했어요 서울여행 오신분들이 오심 좋을것 같아요~,2021. 02. 13,2021. 02. 13
121,라까사 호텔 서울,4,"아기자기하면서 깔끔하고, 환경을 생각하는 느낌이라 좋았어요. 다만 히터를 꽤 틀어놔도 넘 춥더라구요ㅠㅠ 틀고 밖에 나와서 밥 먹고 술 먹고 들어오니까 그땐 좀 나았어요! 나머진 다 굳굳💚🌿",2021. 02. 06,2021. 02. 06
122,라까사 호텔 서울,5,좋았습니다,2021. 02. 06,2021. 02. 06
123,라까사 호텔 서울,5,접근성이 좋고 숙소도 깔끔하니 좋았습니다,2021. 02. 04,2021. 02. 04
124,라까사 호텔 서울,5,"싱글침대룸이라 그런지 모텔수준이였어요
히터 틀어도 추워요
이것 빼고 좋아요 
한식메뉴도 룸서비스 되면 좋겠어요",2021. 02. 03,2021. 02. 03
125,라까사 호텔 서울,5,회사 근처라 종종 이용해요 ㅎ 친절하시고 객실 깔끔합니다,2021. 02. 03,2021. 02. 03
126,라까사 호텔 서울,4,편히 쉬었다 가요~,2021. 02. 03,2021. 02. 03
127,라까사 호텔 서울,5,광명보다는 아니였지만 좋았어요,2021. 01. 31,2021. 01. 31
128,라까사 호텔 서울,5,좋습니다.,2021. 01. 27,2021. 01. 27
129,라까사 호텔 서울,5,"쾌적하고 좋았습니다.
수압만 더 강했으면 최고였습니다",2021. 01. 24,2021. 01. 24
130,라까사 호텔 서울,5,항상 기분좋게 머물다 갑니다,2021. 01. 23,2021. 01. 23
131,라까사 호텔 서울,4,편하게 쉬다 갑니다~,2021. 01. 13,2021. 01. 13
132,라까사 호텔 서울,4,겨울에 바람이 많이 들어와서 객실이 쫌 추웠습니다,2021. 01. 11,2021. 01. 11
133,라까사 호텔 서울,5,"접근성좋고 방 욕실 꽤 넓고 너무 잘쉬었어요
자주이용할듯합니당",2021. 01. 09,2021. 01. 09
134,라까사 호텔 서울,3,히터가 너무 건조하네요~추운 날씨에는 호텔이 너무 추워요,2021. 01. 08,2021. 01. 08
135,라까사 호텔 서울,5,좋았습니다,2021. 01. 07,2021. 01. 07
136,라까사 호텔 서울,5,Good as always,2021. 01. 06,2021. 01. 06
137,라까사 호텔 서울,4,"새해를 시작하며 스스로에게 휴식을 주고자 찾은 곳

[좋은 점]
- 욕조 있는 객실 배정 요청 : 친절한 답변 및 예약 시 반영
- 군더더기 없이 깔끔한 객실 구성
- 친절한 안내서와 단정한 어메니티
- 필요를 채워준 블루투스 스피커와 침대 조명
(스피커에 전자기기 연결해서 좋아하는 음악 틀어두는 것 추천👏🏻)
- 따뜻하고 깔끔한 욕실
- 적당히 포근한 침구
- 교통 및 접근성 좋음 : 가로수길 인접
- 합리적인 가격

[아쉬운 점]
- 조금 컴팩트한 욕조 (170cm 건장한 남성 기준)
- 창밖 풍경이 중요하다면 사전 문의 후 예약
- 바닥이나 침구 난방이 아닌 히터 난방 : 너무 건조할까 싶어 온도 낮추니 아침에 조금 쌀쌀
- 책상이 조금 좁음
- 소파가 그다지 편하지 않음

[건의사항]
- 객실별 창의 풍경 사진 제공
- 가습기 혹은 가습 제품 설치
- 기존 소파 대신 컬러와 톤이 같은 안락 의자 설치

덕분에 한 해 시작할 에너지 충전하고 잘 쉬고 갑니당 :-)더보기",2021. 01. 04,2021. 01. 04
138,라까사 호텔 서울,5,"주차 괜찮았구요.
조식도 괜찮았고
교통이나 접근성 다 좋았습니다.

다만 방이 다소 좁게 느껴지고 외풍이 불고 
난방을 천정 히터에 의존해서 다소 춥고 외풍이 있고
소음이 있었습니다.더보기",2021. 01. 03,2021. 01. 03
139,라까사 호텔 서울,5,좋습니다. 좋아요.,2021. 01. 03,2021. 01. 03
140,라까사 호텔 서울,5,깔끔해요 정말,2021. 01. 03,2021. 01. 03
141,라까사 호텔 서울,5,방이 좀 건조합니다,2020. 12. 30,2020. 12. 30
142,라까사 호텔 서울,5,완전 깨끗하고 사진보다 생각보다 넓습니다~~ 정말 최고예요^^,2020. 12. 27,2020. 12. 27
143,라까사 호텔 서울,5,좋았습니다,2020. 12. 27,2020. 12. 27
144,라까사 호텔 서울,4,좋았습니다,2020. 12. 26,2020. 12. 26
145,라까사 호텔 서울,5,직원 친절 깔끔 직유ㅓㄴ 친절 해서 다 좋아ㅛ어요,2020. 12. 26,2020. 12. 26
146,라까사 호텔 서울,5,깔끔하고 좋았어요 히터가 잘 나와서 따뜻하게 잘잤어요,2020. 12. 25,2020. 12. 25
147,라까사 호텔 서울,5,공간도 넓고 깨끗해서 잘 쉬다 온 것 같네요:),2020. 12. 19,2020. 12. 19
148,라까사 호텔 서울,5,너무조아요,2020. 12. 19,2020. 12. 19
